enero,febrero,marzo,abril,mayo,junio,julio,agosto,septiembre,octubre,noviembre,diciembre
11071,8177,7083,5012,3930,4870,5720,11903,9510,6204,4945,8070
4,3,5,0,1,2,1,1,2,0,3,1
412,190,242,143,236,468,1142,2447,2160,2424,2936,395
6795,4765,5847,3939,2927,5794,16684,47670,39578,19652,7457,5789
1607,5946,3478,97,81,77,65,153,136,249,267,725
19881,36226,10870,11065,6930,7363,19846,47040,21306,7418,5895,4333
1171,782,1027,954,1237,1422,2946,7481,11433,9498,3963,1391
6757,5650,5731,2726,3415,4046,11816,30885,13647,12100,4375,3839
26728,10505,13544,6879,4851,4916,18420,65922,63693,32685,9522,6212
241,149,110,79,162,792,1058,1782,2734,3996,3780,776
33649,6135,3266,975,467,523,849,6215,4312,1460,1368,11901
459,133,188,229,282,559,818,2013,3512,5301,3128,392
8136,1908,1046,844,902,1578,2920,5574,5441,2910,1682,2173
1609,2405,2566,2851,2006,2519,6992,14306,6634,2074,2674,1372
4105,4422,3678,3592,1999,1417,1601,2647,3249,3359,2816,3518
9095,7053,3607,1370,609,659,1069,2910,3040,1400,1113,18280
3192,991,501,729,830,1649,4421,16750,30872,26867,31098,4521
647,222,271,305,398,612,1146,2517,2630,1691,1561,415
3985,763,2441,202,493,552,990,5922,6158,9169,3323,3597
440,365,335,210,249,223,137,138,238,257,227,282
13149,13168,13113,13295,11848,14121,36770,67185,46568,19255,11475,8122
4106,2316,3966,3030,3651,6026,18952,44178,39074,20872,8967,3796
47,53,64,48,100,74,73,91,140,53,78,1489
218,128,123,119,413,1725,5883,12203,9971,4778,1555,464
